-0.035853,0.19792,0.18965,-0.28601,0.39292,-0.12736,-0.5805,0.32186,0.46948,-0.5492,-0.11172,0.032001,0
-0.13861,0.24338,0.17268,0.12306,1.8213,-1.9225,-0.45073,0.015547,2.56,-0.66968,0.31312,1.5772,0
-0.1733,0.2343,0.16302,0.1662,2.0649,-1.2817,-1.5393,0.0070961,2.9143,-1.3386,0.10508,1.4706,0
-0.20295,0.22142,0.15482,0.19866,1.5871,-0.22227,-2.2843,0.0042937,3.141,-2.0334,-0.14889,1.2565,0
-0.21469,0.15308,0.15116,0.21179,0.9561,0.9858,-2.992,0.0028972,2.2182,-3.8937,-1.2621,-0.41347,0
-0.24062,0.13928,0.14326,0.23855,1.3459,0.0013206,-2.5017,0.0020683,2.4105,-4.577,-1.4901,-0.67641,0
-0.24785,0.069399,0.14281,0.24632,1.2686,-0.031932,-2.4746,0.001527,1.4087,-6.4258,-2.609,-2.408,0
-0.25589,0.011669,0.1399,0.25474,1.1114,0.10659,-2.5227,0.0011521,0.67454,-8.0151,-3.4736,-3.8669,0
-0.26527,-0.033605,0.135,0.26439,1.2313,-0.32964,-2.2597,0.00088223,0.2013,-9.3306,-4.0989,-5.0304,0
-0.27961,-0.058437,0.1273,0.27893,0.86216,0.35039,-2.6134,0.00068267,0.15447,-10.204,-4.3782,-5.6709,0
-0.29286,-0.078983,0.12006,0.29232,1.1076,-0.27628,-2.2662,0.00053228,0.15822,-10.951,-4.5891,-6.2038,0
-0.30315,-0.10091,0.11438,0.30274,0.80887,0.26213,-2.5333,0.00041738,0.085267,-11.691,-4.829,-6.7763,0
-0.31211,-0.12057,0.10917,0.31178,0.99023,-0.22284,-2.2515,0.00032868,0.026452,-12.354,-5.0331,-7.2948,0
-0.31939,-0.13964,0.10478,0.31913,0.75773,0.1837,-2.443,0.00025968,-0.054845,-12.979,-5.2324,-7.8013,0
-0.32536,-0.15772,0.10095,0.32515,0.87334,-0.15503,-2.2339,0.00020568,-0.14492,-13.56,-5.4191,-8.2854,0
-0.33029,-0.17444,0.097486,0.33013,0.70838,0.11419,-2.3494,0.00016322,-0.23225,-14.092,-5.5865,-8.7376,0
-0.33431,-0.19001,0.094376,0.33418,0.76169,-0.081809,-2.2157,0.00012972,-0.31935,-14.582,-5.7387,-9.1624,0
-0.33766,-0.204,0.091422,0.33755,0.66691,0.046756,-2.2567,0.00010323,-0.39399,-15.022,-5.8676,-9.5487,0
-0.3405,-0.21626,0.088542,0.34042,0.66697,-0.020843,-2.195,8.2216e-05,-0.45112,-15.412,-5.9708,-9.8919,0
-0.34298,-0.22657,0.085654,0.34292,0.62814,0.004358,-2.1861,6.553e-05,-0.48512,-15.746,-6.0451,-10.186,0
-0.34518,-0.23499,0.082776,0.34513,0.60759,-0.00036482,-2.1646,5.2261e-05,-0.49698,-16.027,-6.0925,-10.431,0
-0.34711,-0.24175,0.079983,0.34707,0.58869,-0.0002914,-2.1488,4.1698e-05,-0.49154,-16.26,-6.1184,-10.633,0
-0.3488,-0.24708,0.07734,0.34876,0.57314,-0.00027943,-2.1358,3.3281e-05,-0.47386,-16.451,-6.128,-10.797,0
